"","City","State","CityState"
"1","Omaha","NE","Omaha, NE"
"2","Bakersfield","CA","Bakersfield, CA"
"3","Pueblo","CO","Pueblo, CO"
"4","Farmington","NM","Farmington, NM"
"5","Gordon","WI","Gordon, WI"
"6","Mankato","MN","Mankato, MN"
"7","Ormond Beach","FL","Ormond Beach, FL"
"8","Kansas City","MO","Kansas City, MO"
"9","Brooklyn","NY","Brooklyn, NY"
"10","Citrus Heights","CA","Citrus Heights, CA"
"11","Philadelphia","PA","Philadelphia, PA"
"12","Edwardsville","IL","Edwardsville, IL"
"13","Fort Myers","FL","Fort Myers, FL"
"14","Mt. Pleasant","PA","Mt. Pleasant, PA"
"15","Westwood Lakes","FL","Westwood Lakes, FL"
"16","Wenonah","NJ","Wenonah, NJ"
"17","Phoenix","AZ","Phoenix, AZ"
"18","Belding","MI","Belding, MI"
"19","Surprise","AZ","Surprise, AZ"
"20","Aurora","CO","Aurora, CO"
"21","Ventura","CA","Ventura, CA"
"22","Coolbaugh Township","PA","Coolbaugh Township, PA"
"23","Billings","MT","Billings, MT"
"24","Independence Charter Township","MI","Independence Charter Township, MI"
"25","Charlotte","NC","Charlotte, NC"
"26","Lewisburg","WV","Lewisburg, WV"
"27","Chicago","IL","Chicago, IL"
"28","Lake Worth","FL","Lake Worth, FL"
"29","Peoria","AZ","Peoria, AZ"
"30","Tamarac","FL","Tamarac, FL"
"31","Salt Lake City","UT","Salt Lake City, UT"
"32","Tampa","FL","Tampa, FL"
"33","Mount Airy","MD","Mount Airy, MD"
"34","Man","WV","Man, WV"
"35","Cushing","OK","Cushing, OK"
"36","Santa Ana","CA","Santa Ana, CA"
"37","Little Rock","AK","Little Rock, AK"
"38","Savannah","GA","Savannah, GA"
"39","Memphis","TN","Memphis, TN"
"40","Frederick","MD","Frederick, MD"
"41","Elkview","WV","Elkview, WV"
"42","Bluefield","WV","Bluefield, WV"
"43","San Diego","CA","San Diego, CA"
"44","Smiths Station","AL","Smiths Station, AL"
"45","Corona","CA","Corona, CA"
"46","Midlothian","VA","Midlothian, VA"
"47","Santa Maria","CA","Santa Maria, CA"
"48","Indialantic","FL","Indialantic, FL"
"49","Senath","MO","Senath, MO"
"50","East Orange","NJ","East Orange, NJ"
"51","Thornton","CO","Thornton, CO"
"52","Greenville","SC","Greenville, SC"
"53","Fresno","CA","Fresno, CA"
"54","Tucson","AZ","Tucson, AZ"
"55","Honolulu","HI","Honolulu, HI"
"56","Orlando","FL","Orlando, FL"
"57","Calhoun","GA","Calhoun, GA"
"58","Denver","CO","Denver, CO"
"59","Buckeye","AZ","Buckeye, AZ"
"60","Tulare","CA","Tulare, CA"
"61","Frederic","MI","Frederic, MI"
"62","Avondale Estates","GA","Avondale Estates, GA"
"63","Roanoke Rapids","NC","Roanoke Rapids, NC"
"64","Oxford","AL","Oxford, AL"
"65","Olathe","KS","Olathe, KS"
"66","Coarsegold","CA","Coarsegold, CA"
"67","Vancouver","WA","Vancouver, WA"
"68","St. Louis","MO","St. Louis, MO"
"69","Addis","LA","Addis, LA"
"70","Elkhorn","WI","Elkhorn, WI"
"71","Woodland Park","CO","Woodland Park, CO"
"72","Boulder City","NV","Boulder City, NV"
"73","Alto","TX","Alto, TX"
"74","LaPlace","LA","LaPlace, LA"
"75","Fayetteville","NC","Fayetteville, NC"
"76","Grand Prairie","TX","Grand Prairie, TX"
"77","Kalamazoo","MI","Kalamazoo, MI"
"78","Houston","TX","Houston, TX"
