"","all_agencies"
"1","Globe Police Department (AZ)"
"2","Memphis Police Department (AR)"
"3","Arkansas State Police (AR)"
"4","Omaha Police Department (NE)"
"5","Federal Way Police Department (WA)"
"6","Chesterfield Police Department (MO)"
"7","Kanawha County Sheriff's Department (WV)"
"8","Mississippi Highway Patrol (MS)"
"9","Sedgwick County Sheriff’s Office (KS)"
"10","Houston Police Department (TX)"
"11","Pasadena Police Department (TX)"
"12","Fulton Police Department (MO)"
"13","El Centro Police Department (CA)"
"14","DeSoto County Sheriff's Office (MS)"
"15","Rapid City Police Department (SD)"
"16","Tippecanoe County Sheriff’s Office (IN)"
"17","Juneau Police Department (AK)"
"18","Lancaster Police Department (OH)"
"19","Elizabethton Police Department (TN)"
"20","Harris County Sheriff’s Office (TX)"
"21","Lake County Sheriff's Office (CA)"
"22","Kern County Sheriff’s Office (CA)"
"23","Anne Arundel County Police Department (MD)"
"24","U.S. Federal Bureau of Investigation (MD)"
"25","Newport News Police Department (VA)"
"26","South Ogden Police Department (UT)"
"27","York County Sheriff's Office (ME)"
"28","Memphis Police Department (TN)"
"29","Polk County Sheriff's Office (FL)"
"30","Clayton County Sheriff's Office (GA)"
"31","Marion County Sheriff’s Office (FL)"
"32","Springfield Police Department (MO)"
"33","Volusia County Sheriff's Office (FL)"
"34","Oklahoma City Police Department (OK)"
"35","Phoenix Police Department (AZ)"
"36","Bryant Police Department (AR)"
"37","San Antonio Police Department (TX)"
"38","Wilkinsburg Police Department (PA)"
"39","Hattiesburg Police Department (MS)"
"40","Redding Police Department (CA)"
"41","Ithaca Police Department (NY)"
"42","Emery County Sheriff's Office (UT)"
"43","Utah Highway Patrol (UT)"
"44","Evansville Police Department (IN)"
"45","Carroll County Sheriff's Office (GA)"
"46","Winston-Salem Police Department (NC)"
"47","Randolph County Sheriff's Department (IN)"
"48","Lynn Town Marshal's Office (IN)"
"49","Smith County Sheriff's Office (TN)"
"50","Suffolk County Police Department (NY)"
"51","Davis Police Department (CA)"
"52","Lakewood Police Department (CO)"
"53","Lake County Sheriff's Office (FL)"
"54","Arizona Department of Public Safety (AZ)"
"55","U.S. Marshals Service (NC)"
"56","Tulsa Police Department (OK)"
"57","U.S. Marshals Service (MT)"
"58","Okaloosa County Sheriff's Office (FL)"
"59","El Paso Police Department (TX)"
"60","U.S. Border Patrol"
"61","U.S. Bureau of Alcohol Tobacco Firearms and Explosives"
"62","U.S. Federal Bureau of Investigation (TX)"
"63","Honolulu Police Department (HI)"
"64","New Hanover County Sheriff's Office (NC)"
"65","Los Angeles County Sheriff's Department (CA)"
"66","San Bernardino County Sheriff's Office (CA)"
"67","Milwaukee Police Department (WI)"
"68","Brownsville Police Department (TX)"
"69","Minneapolis Police Department (MN)"
"70","Akron Police Department (OH)"
"71","Detroit Police Department (MI)"
"72","Jacksonville Sheriff's Office (FL)"
"73","Tucson Police Department (AZ)"
"74","Pasco Police Department (WA)"
"75","Anaheim Police Department (CA)"
"76","Hillsborough County Sheriff's Office (FL)"
"77","St. Louis Metropolitan Police Department (MO)"
"78","Washita County Sheriff's Office (OK)"
"79","Orange Police Department (CA)"
"80","Renton Police Department (WA)"
"81","Ozark Police Department (AL)"
"82","League City Police Department (TX)"
"83","New York State Police (NY)"
"84","Georgetown County Sheriff's Office (SC)"
"85","Jersey City Police Department (NJ)"
"86","Beloit Police Department (WI)"
"87","Mobile County Sheriff's Office (AL)"
"88","Fort Madison Police Department (IA)"
"89","Pennsylvania State Police (PA)"
"90","St. Helena Parish Sheriff's Office (LA)"
"91","Portland Police Bureau (OR)"
"92","Fayetteville Police Department (AR)"
"93","Sarasota County Sheriff's Office (FL)"
"94","Westminster Police Department (CO)"
"95","Thornton Police Department"
"96","Federal Heights Police Department (CO)"
"97","Bentonville Police Department (AR)"
"98","Miami-Dade Police Department (FL)"
"99","Miramar Police Department"
"100","Pembroke Pines Police Department (FL)"
"101","Harrison County Sheriff's Office (TX)"
"102","Riverside County Sheriff's Department (CA)"
"103","Colorado State Patrol (CO)"
"104","Avon Police Department"
"105","Eagle County Sheriff's Office (CO)"
"106","Syracuse Police Department (NY)"
"107","Ada Police Department (OK)"
"108","Kansas City Police Department (MO)"
"109","Mesa Police Department (AZ)"
"110","El Monte Police Department (CA)"
"111","Temple Police Department (TX)"
"112","Daytona Beach Police Department (FL)"
"113","Clayton County Police Department (GA)"
"114","Concord Police Department (CA)"
"115","Secaucus Police Department (NJ)"
"116","St. Lucie County Sheriff's Office (FL)"
"117","Plant City Police Department (FL)"
"118","Eugene Police Department (OR)"
"119","Modesto Police Department (CA)"
"120","Pierce County Sheriff's Office (WA)"
"121","Adams County Sheriff's Office (CO)"
"122","Delaware State Police (DE)"
"123","Pittsburg Police Department (MO)"
"124","Tampa Police Department (FL)"
"125","Mansfield Police Department (OH)"
"126","Sonoma County Sheriff's Department (CA)"
"127","Sebastopol Police Department (CA)"
"128","Baltimore County Police Department (MD)"
"129","Greeneville Police Department (TN)"
"130","Los Angeles Police Department (CA)"
"131","King County Sheriff's Office (WA)"
"132","Kent County Sheriff's Office (MI)"
"133","Pueblo Police Department (CO)"
"134","Chester Police Department (SC)"
"135","Bladen County Sheriff's Office (NC)"
"136","Elizabethtown Police Department (NC)"
"137","Hampton Police Department (GA)"
"138","U.S. Drug Enforcement Administration (CA)"
"139","Henderson Police Department (NV)"
"140","Lumpkin County Sheriff's Office (GA)"
"141","Des Plaines Police Department (IL)"
"142","Horn Lake Police Department (MS)"
"143","Preston Police Department (ID)"
"144","Franklin County Sheriff's Office (ID)"
"145","Kewaunee County County Sheriff's Office (WI)"
"146","Clay County Sheriff's Office (MO)"
"147","Franklin County Sheriff's Office (WA)"
"148","Carroll County Sheriff's Office (OH)"
"149","Cleveland Division of Police (OH)"
"150","Westborough Police Department (MA)"
"151","Charlotte-Mecklenburg Police Department (NC)"
"152","Beaumont Police Department (TX)"
"153","Everett Police Department (WA)"
"154","Fox Crossing Police Department (WI)"
"155","Neenah Police Department (WI)"
"156","North Carolina Department of Motor Vehicles (NC)"
"157","Loveland Police Department (CO)"
"158","Cedar City Police Department (UT)"
"159","Richmond Police Department (CA)"
"160","Madison County Sheriff's Office (GA)"
"161","Mannford Police Department (FL)"
"162","Snohomish County Sheriff's Office (WA)"
"163","San Jose Police Department (CA)"
"164","Union County Sheriff's Office (SC)"
"165","Lincoln County Sheriff's Office (NC)"
"166","Rockdale County Sheriff's Office (GA)"
"167","Wadsworth Police Department (OH)"
"168","Medina County Sheriff's Office (OH)"
"169","Ashtabula County Sheriff's Office (OH)"
"170","Louisville Metro Police Department (KY)"
"171","Cherokee Nation Marshal Service (OK)"
"172","Fayetteville Police Department (NC)"
